,total_sqft,bath,price,location,bhk
52,1102.0,2.0,52.0,Alandi Road,2
53,1020.0,2.0,46.5,Alandi Road,2
54,1855.0,3.0,145.0,Alandi Road,3
55,1181.0,2.0,75.0,Alandi Road,2
57,1130.0,2.0,45.2,Alandi Road,2
58,1065.0,2.0,55.0,Alandi Road,2
59,1540.0,3.0,85.0,Alandi Road,3
60,1246.0,2.0,67.4,Alandi Road,2
61,500.0,1.0,30.0,Alandi Road,1
62,1080.0,2.0,45.0,Alandi Road,2
63,1756.0,3.0,128.0,Alandi Road,3
64,914.0,2.0,32.0,Alandi Road,2
65,1150.0,2.0,36.8,Alandi Road,2
66,2144.6,4.0,145.0,Alandi Road,3
68,1856.0,3.0,135.0,Alandi Road,3
69,1800.0,4.0,125.0,Alandi Road,3
70,1338.0,2.0,103.0,Alandi Road,2
72,2480.0,2.0,160.0,Alandi Road,2
73,3596.0,5.0,279.0,Alandi Road,4
75,2400.0,5.0,200.0,Alandi Road,5
76,1565.0,2.0,69.0,Alandi Road,2
77,1185.0,2.0,51.15,Alandi Road,2
78,1091.0,2.0,33.82,Alandi Road,2
79,1135.0,2.0,68.0,Alandi Road,2
80,2658.0,5.0,189.0,Alandi Road,4
81,1830.0,4.0,150.0,Alandi Road,3
82,1685.0,3.0,115.0,Alandi Road,3
83,890.0,2.0,40.0,Alandi Road,2
84,1260.0,2.0,75.0,Alandi Road,3
85,674.0,1.0,19.9,Alandi Road,2
86,1049.0,2.0,51.0,Alandi Road,2
87,945.0,2.0,35.0,Alandi Road,2
88,1540.0,3.0,90.0,Alandi Road,3
90,1194.0,2.0,51.0,Alandi Road,2
91,1189.0,2.0,45.0,Alandi Road,2
92,1339.0,2.0,53.56,Alandi Road,2
93,1350.0,2.0,68.0,Alandi Road,2
95,1244.0,2.0,88.0,Alandi Road,2
96,1719.0,3.0,135.0,Alandi Road,3
97,416.0,1.0,17.19,Alandi Road,1
98,1041.0,2.0,54.0,Alandi Road,2
99,705.0,1.0,65.0,Alandi Road,1
102,1027.0,2.0,44.0,Alandi Road,2
103,1801.0,3.0,115.0,Alandi Road,3
104,1205.0,2.0,37.0,Alandi Road,2
105,1105.0,2.0,39.5,Alandi Road,2
106,3504.0,4.0,262.0,Alandi Road,4
107,1089.0,2.0,40.0,Alandi Road,2
108,925.0,2.0,49.82,Alandi Road,3
109,1255.0,3.0,90.0,Alandi Road,3
110,1200.0,2.0,45.0,Alandi Road,2
112,1200.0,2.0,75.0,Alandi Road,2
115,950.0,2.0,40.0,Ambegaon Budruk,2
116,1200.0,2.0,65.0,Ambegaon Budruk,2
117,1180.0,2.0,78.34,Ambegaon Budruk,3
118,1215.0,2.0,67.0,Ambegaon Budruk,2
119,884.0,2.0,41.1,Ambegaon Budruk,2
120,1036.0,2.0,50.0,Ambegaon Budruk,2
121,6000.0,5.0,400.0,Ambegaon Budruk,4
122,1240.0,2.0,60.0,Ambegaon Budruk,2
123,2060.0,3.0,149.0,Ambegaon Budruk,3
124,1890.0,4.0,127.0,Ambegaon Budruk,3
125,1330.0,2.0,86.98,Ambegaon Budruk,2
126,1115.0,2.0,50.0,Ambegaon Budruk,2
127,1045.0,2.0,45.0,Ambegaon Budruk,2
128,1070.0,2.0,54.0,Ambegaon Budruk,2
129,1340.0,2.0,100.0,Ambegaon Budruk,3
130,1500.0,2.0,143.0,Ambegaon Budruk,3
131,3122.0,6.0,245.0,Ambegaon Budruk,4
132,1089.0,2.0,43.55,Ambegaon Budruk,2
133,3250.0,4.0,230.0,Ambegaon Budruk,4
136,780.0,2.0,25.0,Ambegaon Budruk,2
138,1065.0,2.0,50.0,Ambegaon Budruk,2
139,1351.0,2.0,53.0,Ambegaon Budruk,1
140,1146.0,2.0,39.5,Ambegaon Budruk,2
141,1000.0,2.0,60.0,Ambegaon Budruk,2
142,1665.0,3.0,86.91,Ambegaon Budruk,3
143,1274.0,2.0,48.42,Ambegaon Budruk,2
144,1819.18,3.0,160.0,Ambegaon Budruk,3
145,1444.0,2.0,80.0,Ambegaon Budruk,3
146,1263.0,2.0,78.0,Ambegaon Budruk,2
147,1690.0,3.0,112.0,Ambegaon Budruk,3
148,1500.0,3.0,95.0,Ambegaon Budruk,3
149,709.0,1.0,34.385,Ambegaon Budruk,1
151,1000.0,2.0,68.0,Ambegaon Budruk,2
152,1360.0,2.0,103.0,Ambegaon Budruk,2
153,1140.0,2.0,52.0,Ambegaon Budruk,2
156,1174.0,2.0,75.0,Ambegaon Budruk,2
157,1075.0,2.0,30.0,Ambegaon Budruk,2
159,1390.0,2.0,65.0,Ambegaon Budruk,2
160,1010.0,2.0,35.0,Ambegaon Budruk,2
161,1250.0,2.0,60.0,Ambegaon Budruk,2
162,2400.0,5.0,190.0,Ambegaon Budruk,4
164,1200.0,2.0,52.5,Ambegaon Budruk,2
165,919.0,2.0,34.0,Ambegaon Budruk,2
166,1242.0,2.0,65.0,Ambegaon Budruk,2
167,913.0,2.0,36.0,Ambegaon Budruk,2
168,883.0,2.0,45.0,Ambegaon Budruk,2
169,1724.0,3.0,146.0,Ambegaon Budruk,3
171,1444.0,2.0,71.5,Ambegaon Budruk,3
172,1395.0,2.0,75.0,Ambegaon Budruk,2
173,600.0,1.0,47.0,Ambegaon Budruk,1
175,1258.0,2.0,58.0,Ambegaon Budruk,2
177,750.0,2.0,36.5,Ambegaon Budruk,2
178,2600.0,3.0,147.0,Ambegaon Budruk,3
179,900.0,2.0,55.0,Ambegaon Budruk,2
180,500.0,1.0,20.0,Ambegaon Budruk,1
181,1089.0,2.0,49.0,Ambegaon Budruk,2
182,1086.0,2.0,44.5,Ambegaon Budruk,2
183,1512.0,3.0,103.0,Ambegaon Budruk,3
184,1500.0,3.0,72.99,Ambegaon Budruk,3
185,2000.0,2.0,180.0,Ambegaon Budruk,3
186,1215.0,2.0,68.0,Ambegaon Budruk,2
187,2400.0,2.0,125.0,Ambegaon Budruk,3
188,2210.0,3.0,165.0,Ambegaon Budruk,3
189,1800.0,3.0,93.0,Ambegaon Budruk,3
190,3122.0,6.0,245.0,Ambegaon Budruk,4
191,1600.0,2.0,90.0,Ambegaon Budruk,3
193,2275.0,4.0,185.0,Ambegaon Budruk,3
194,900.0,2.0,72.0,Ambegaon Budruk,2
195,1398.0,2.0,97.0,Ambegaon Budruk,2
196,3270.0,4.0,205.0,Ambegaon Budruk,4
197,1340.0,2.0,85.0,Ambegaon Budruk,2
198,1350.0,3.0,70.0,Ambegaon Budruk,3
199,2650.0,4.0,175.0,Ambegaon Budruk,3
200,500.0,1.0,33.0,Ambegaon Budruk,1
201,984.0,2.0,45.91,Ambegaon Budruk,2
202,1725.0,3.0,106.0,Ambegaon Budruk,3
203,1035.0,2.0,39.0,Ambegaon Budruk,2
207,1107.83,2.0,41.51,Ambegaon Budruk,2
209,1220.0,2.0,62.0,Ambegaon Budruk,2
210,1200.0,2.0,45.0,Ambegaon Budruk,2
211,1310.0,2.0,60.0,Ambegaon Budruk,2
212,1315.0,2.0,55.0,Ambegaon Budruk,2
213,1450.0,2.0,73.0,Ambegaon Budruk,3
214,1220.0,2.0,55.0,Ambegaon Budruk,2
215,1200.0,1.0,50.0,Ambegaon Budruk,2
216,1150.0,2.0,45.99,Ambegaon Budruk,2
217,1165.0,2.0,52.0,Ambegaon Budruk,2
218,1160.0,2.0,49.0,Ambegaon Budruk,2
219,925.0,2.0,35.0,Ambegaon Budruk,2
220,1516.0,3.0,147.0,Ambegaon Budruk,3
221,1790.0,3.0,120.0,Ambegaon Budruk,3
222,1112.0,2.0,58.0,Ambegaon Budruk,2
223,1490.0,3.0,85.0,Ambegaon Budruk,3
225,1200.0,2.0,65.0,Anandnagar,2
229,1460.0,3.0,73.0,Anandnagar,3
230,1300.0,1.0,115.0,Anandnagar,2
231,1662.0,3.0,85.1,Anandnagar,3
233,1535.0,3.0,78.0,Anandnagar,3
234,1730.0,3.0,96.0,Anandnagar,3
235,1400.0,2.0,73.0,Anandnagar,3
237,1757.0,3.0,132.0,Anandnagar,3
238,1200.0,2.0,125.0,Anandnagar,2
239,3555.0,4.0,230.0,Anandnagar,4
240,1450.0,3.0,132.0,Anandnagar,4
242,1290.0,2.0,85.0,Anandnagar,2
243,1800.0,3.0,90.0,Anandnagar,3
244,2475.0,4.0,130.0,Anandnagar,3
245,1776.42,3.0,105.0,Anandnagar,3
248,1000.0,2.0,65.0,Anandnagar,3
249,1128.0,2.0,65.0,Anandnagar,2
252,1418.0,2.0,103.0,Anandnagar,2
254,1340.0,2.0,77.0,Anandnagar,2
255,1419.0,2.0,73.0,Anandnagar,3
256,1891.0,3.0,109.0,Anandnagar,3
257,2592.0,4.0,250.0,Anandnagar,4
261,1750.0,3.0,130.0,Anandnagar,3
262,2661.0,2.0,226.5,Anandnagar,3
265,1045.0,2.0,58.0,Anandnagar,2
269,750.0,1.0,52.5,Anandnagar,1
270,1732.0,3.0,85.73,Anandnagar,3
274,1910.0,3.0,119.0,Anandnagar,3
275,500.0,2.0,24.0,Anandnagar,1
277,3200.0,4.0,280.0,Anandnagar,4
278,1020.0,2.0,60.0,Anandnagar,2
279,1750.0,3.0,123.0,Anandnagar,3
282,1725.0,2.0,165.0,Anandnagar,3
283,665.0,1.0,32.0,Anandnagar,1
284,2400.0,4.0,250.0,Anandnagar,4
285,1355.0,3.0,83.87,Anandnagar,3
288,645.0,1.0,42.5,Anandnagar,1
289,1613.0,3.0,150.0,Anandnagar,3
291,1280.0,2.0,100.0,Anandnagar,3
292,1115.0,2.0,60.0,Anandnagar,2
293,416.0,1.0,18.0,Anandnagar,1
294,1491.0,3.0,88.0,Anandnagar,3
295,1929.0,4.0,101.0,Anandnagar,3
297,1770.0,3.0,90.0,Anandnagar,3
299,2025.0,4.0,115.0,Anandnagar,3
300,1397.0,3.0,105.0,Anandnagar,3
301,1738.0,3.0,110.0,Anandnagar,3
305,3400.0,4.0,275.0,Anandnagar,4
306,702.0,1.0,52.0,Anandnagar,1
307,2895.5,2.0,246.0,Anandnagar,4
308,1330.0,2.0,80.0,Anandnagar,2
309,1152.0,1.0,66.0,Anandnagar,2
310,1314.0,2.0,110.0,Anandnagar,2
311,1100.0,2.0,75.0,Anandnagar,3
313,1464.0,2.0,115.0,Anandnagar,3
317,1000.0,2.0,70.0,Anandnagar,2
320,3000.0,6.0,180.0,Anandnagar,7
323,1350.0,2.0,85.0,Anandnagar,3
324,1776.0,3.0,150.0,Anandnagar,3
328,2150.0,3.0,170.0,Anandnagar,3
331,1400.0,3.0,74.0,Anandnagar,3
333,410.0,1.0,10.0,Anandnagar,1
336,1335.0,2.0,72.76,Anandnagar,2
337,1600.0,2.0,90.0,Anandnagar,2
338,1917.0,4.0,130.0,Anandnagar,4
339,1521.0,3.0,95.0,Aundh,3
340,1200.0,3.0,90.0,Aundh,3
341,1327.0,2.0,98.0,Aundh,2
342,1027.0,2.0,44.0,Aundh,2
343,1580.0,2.0,134.0,Aundh,3
344,1355.0,2.0,115.0,Aundh,2
345,820.0,2.0,30.0,Aundh,2
346,1170.0,2.0,57.0,Aundh,2
348,1464.0,2.0,105.0,Aundh,3
349,1180.0,2.0,75.0,Aundh,2
350,2195.0,4.0,127.0,Aundh,3
351,1192.0,2.0,71.0,Aundh,2
352,2690.0,4.0,191.0,Aundh,4
353,1277.0,2.0,55.0,Aundh,2
354,1270.0,2.0,70.0,Aundh,3
355,1837.0,3.0,145.0,Aundh,3
356,1875.0,3.0,110.0,Aundh,3
358,3181.0,2.0,260.5,Aundh,4
359,1080.0,2.0,53.35,Aundh,2
360,440.0,1.0,28.0,Aundh,1
361,1350.0,2.0,90.0,Aundh,2
363,1110.0,2.0,41.0,Aundh,2
364,630.5,1.0,32.79,Aundh,1
365,1512.0,2.0,110.0,Aundh,3
366,1355.0,3.0,83.87,Aundh,3
367,1521.0,3.0,94.71,Aundh,3
368,1299.0,2.0,85.0,Aundh,2
369,1896.0,3.0,125.0,Aundh,4
370,1140.0,2.0,50.0,Aundh,2
371,1251.0,2.0,88.73,Aundh,2
372,1200.0,2.0,55.0,Aundh,2
373,1322.0,2.0,86.0,Aundh,2
374,1100.0,2.0,48.0,Aundh,2
376,700.0,2.0,34.98,Aundh,2
377,1450.0,3.0,100.0,Aundh,3
378,1100.0,2.0,45.0,Aundh,2
379,1486.0,3.0,83.22,Aundh,3
380,1390.0,2.0,65.31,Aundh,2
382,1290.0,2.0,80.0,Aundh,2
383,1302.0,2.0,68.5,Aundh,2
384,1000.0,2.0,36.0,Aundh,2
385,1610.0,4.0,85.0,Aundh,3
388,1050.0,2.0,42.7,Aundh,2
389,1706.0,3.0,154.0,Aundh,3
390,1000.0,1.0,90.0,Aundh,2
391,1007.0,2.0,43.0,Aundh,2
392,1665.0,3.0,110.0,Aundh,3
393,3900.0,6.0,195.0,Aundh,6
394,1040.0,2.0,45.0,Aundh,2
395,1335.0,2.0,87.0,Aundh,3
396,1700.0,3.0,150.0,Aundh,3
397,3500.0,4.0,289.0,Aundh,4
398,1002.0,2.0,40.08,Aundh,2
399,1087.0,2.0,54.3,Aundh,2
402,1215.0,2.0,45.0,Aundh,2
403,1066.0,2.0,52.23,Aundh,2
404,1250.0,2.0,95.0,Aundh,2
405,1255.0,2.0,84.0,Aundh,2
406,1180.0,2.0,60.0,Aundh,2
407,1057.0,2.0,34.71,Aundh,2
408,1175.0,2.0,47.0,Aundh,2
409,700.0,1.0,35.0,Aundh,1
411,1020.0,2.0,42.83,Aundh,2
412,1140.0,2.0,49.11,Aundh,2
413,2330.0,5.0,175.0,Aundh,4
414,750.0,2.0,40.0,Aundh,2
415,1842.0,3.0,115.0,Aundh,3
416,1632.0,3.0,140.0,Aundh,4
418,1350.0,1.0,55.0,Aundh,1
419,3930.0,5.0,330.0,Aundh,4
420,1305.0,2.0,52.0,Aundh,2
421,1560.0,3.0,149.0,Aundh,4
422,1416.0,2.0,67.0,Aundh,2
423,1034.0,2.0,38.0,Aundh,2
426,1400.0,3.0,75.0,Aundh,3
427,1885.0,3.0,135.0,Aundh,3
428,1344.0,4.0,84.0,Aundh,4
429,5100.0,5.0,300.0,Aundh,6
431,2400.0,2.0,125.0,Aundh,2
432,540.0,1.0,22.0,Aundh,1
433,2400.0,3.0,185.0,Aundh,4
434,1290.0,2.0,72.0,Aundh,2
435,1482.0,3.0,110.0,Aundh,3
436,1094.0,2.0,54.0,Aundh,2
437,1234.0,2.0,80.0,Aundh,2
438,1050.0,2.0,44.41,Aundh,2
439,1810.0,3.0,97.83,Aundh,3
441,1648.0,3.0,85.0,Aundh,3
442,1703.0,3.0,120.0,Aundh,3
444,2502.0,3.0,138.0,Aundh Road,3
447,1826.0,3.0,121.0,Aundh Road,3
450,600.0,1.0,50.0,Aundh Road,1
454,1234.0,2.0,80.0,Aundh Road,2
455,1330.0,2.0,92.5,Aundh Road,2
456,2200.0,6.0,68.0,Aundh Road,6
457,1650.0,3.0,125.0,Aundh Road,3
460,2400.0,3.0,142.0,Aundh Road,4
462,2479.13,3.0,215.0,Aundh Road,3
463,3000.0,4.0,200.0,Aundh Road,4
465,2503.0,4.0,188.0,Aundh Road,4
468,1500.0,3.0,97.0,Aundh Road,3
469,7500.0,7.0,400.0,Aundh Road,7
470,1800.0,4.0,110.0,Aundh Road,4
474,1100.0,2.0,68.0,Aundh Road,2
477,605.0,1.0,40.0,Aundh Road,1
478,1200.0,2.0,100.0,Aundh Road,2
479,1600.0,2.0,115.0,Aundh Road,3
480,1369.1,2.0,104.0,Aundh Road,2
483,1948.0,3.0,130.0,Aundh Road,3
485,1810.0,3.0,126.0,Aundh Road,3
488,412.5,1.0,19.8,Aundh Road,1
490,540.0,1.0,16.5,Aundh Road,1
491,850.0,1.0,57.0,Aundh Road,1
492,1475.0,3.0,78.0,Aundh Road,3
494,905.0,1.0,52.0,Aundh Road,1
495,1293.0,2.0,85.0,Aundh Road,3
498,2968.0,3.0,225.0,Aundh Road,3
501,1600.0,3.0,112.0,Aundh Road,3
505,1000.0,2.0,70.65,Aundh Road,2
508,2134.0,4.0,118.0,Aundh Road,3
511,1290.0,2.0,90.0,Aundh Road,2
512,661.0,1.0,40.0,Aundh Road,1
514,1730.0,3.0,93.0,Aundh Road,3
515,1650.0,3.0,90.75,Aundh Road,3
517,616.0,3.0,45.0,Aundh Road,2
518,1100.0,2.0,70.0,Aundh Road,2
519,900.0,2.0,60.0,Aundh Road,2
524,645.0,1.0,41.0,Aundh Road,1
526,1222.0,3.0,95.0,Aundh Road,3
528,1130.0,2.0,68.0,Aundh Road,2
529,1000.0,2.0,66.0,Aundh Road,2
535,1650.0,3.0,126.0,Aundh Road,3
539,1293.0,2.0,80.0,Aundh Road,2
540,1245.0,2.0,80.0,Aundh Road,2
542,1300.0,2.0,69.0,Aundh Road,3
549,1500.0,3.0,90.0,Aundh Road,3
550,2140.0,3.0,139.0,Aundh Road,3
551,1000.0,2.0,66.0,Aundh Road,2
555,1783.0,3.0,115.0,Balaji Nagar,3
556,1349.0,2.0,98.2,Balaji Nagar,2
557,1245.0,2.0,94.0,Balaji Nagar,2
558,540.0,1.0,36.0,Balaji Nagar,1
560,1342.0,2.0,73.3,Balaji Nagar,2
562,1937.0,3.0,160.0,Balaji Nagar,3
563,1400.0,2.0,78.0,Balaji Nagar,2
564,1200.0,2.0,71.0,Balaji Nagar,2
565,1440.0,2.0,98.0,Balaji Nagar,2
566,1297.0,2.0,103.0,Balaji Nagar,2
567,1200.0,3.0,72.0,Balaji Nagar,2
568,1240.0,2.0,44.0,Balaji Nagar,2
569,1846.0,3.0,140.0,Balaji Nagar,3
570,2045.0,4.0,154.0,Balaji Nagar,3
571,1238.0,2.0,55.0,Balaji Nagar,2
572,983.0,2.0,50.6,Balaji Nagar,2
573,1583.0,3.0,105.0,Balaji Nagar,3
574,2524.0,5.0,190.0,Balaji Nagar,4
575,3200.0,4.0,205.0,Balaji Nagar,4
576,1800.0,3.0,110.0,Balaji Nagar,3
577,1700.0,2.0,100.0,Balaji Nagar,3
578,1493.0,3.0,82.0,Balaji Nagar,3
579,3181.0,4.0,260.5,Balaji Nagar,4
580,1156.0,2.0,49.5,Balaji Nagar,2
581,1697.0,3.0,115.0,Balaji Nagar,3
582,1350.0,2.0,87.01,Balaji Nagar,3
583,1650.0,3.0,100.0,Balaji Nagar,3
584,995.0,2.0,34.82,Balaji Nagar,2
586,1532.0,3.0,83.0,Balaji Nagar,3
587,1128.0,2.0,65.5,Balaji Nagar,2
588,1355.0,2.0,75.0,Balaji Nagar,2
589,990.0,2.0,40.0,Balaji Nagar,2
590,3600.0,4.0,260.0,Balaji Nagar,4
591,1600.0,4.0,112.0,Balaji Nagar,4
593,1041.0,2.0,36.44,Balaji Nagar,2
594,1246.0,2.0,62.3,Balaji Nagar,2
595,4830.0,5.0,390.0,Balaji Nagar,4
596,4400.0,4.0,350.0,Balaji Nagar,5
597,1100.0,2.0,62.0,Balaji Nagar,2
598,709.0,1.0,34.735,Balaji Nagar,1
600,2230.0,4.0,130.0,Balaji Nagar,4
601,1917.0,4.0,100.0,Balaji Nagar,3
602,1303.0,2.0,55.79,Balaji Nagar,2
603,1200.0,2.0,66.0,Balaji Nagar,3
605,1519.0,2.0,65.0,Balaji Nagar,2
606,2010.0,3.0,125.0,Balaji Nagar,3
607,1450.0,3.0,75.0,Balaji Nagar,3
608,1200.0,2.0,90.0,Balaji Nagar,2
609,4250.0,6.0,150.0,Balaji Nagar,6
610,1185.0,2.0,41.0,Balaji Nagar,2
611,907.0,2.0,38.0,Balaji Nagar,2
612,4003.0,6.0,300.0,Balaji Nagar,4
613,3496.5,2.0,237.5,Balaji Nagar,3
614,1369.1,2.0,98.0,Balaji Nagar,2
615,1180.0,2.0,52.0,Balaji Nagar,2
616,1375.0,2.0,78.0,Balaji Nagar,2
617,1280.0,2.0,60.16,Balaji Nagar,2
618,620.0,1.0,23.5,Balaji Nagar,2
619,1536.0,3.0,104.0,Balaji Nagar,3
620,1205.0,2.0,63.86,Balaji Nagar,2
621,1140.0,2.0,48.7,Balaji Nagar,2
622,2215.0,4.0,150.0,Balaji Nagar,3
623,745.0,1.0,34.27,Balaji Nagar,1
624,900.0,2.0,42.0,Balaji Nagar,2
625,2710.0,3.0,170.0,Balaji Nagar,3
626,1150.0,1.0,52.0,Balaji Nagar,1
627,1180.0,2.0,71.22,Balaji Nagar,2
629,1046.0,2.0,60.0,Balaji Nagar,2
630,1125.0,2.0,54.8,Balaji Nagar,2
631,1116.0,2.0,47.0,Balaji Nagar,2
632,1300.0,2.0,66.0,Balaji Nagar,2
634,1282.0,2.0,72.0,Balaji Nagar,2
635,1276.0,2.0,80.0,Balaji Nagar,2
637,1717.0,3.0,110.0,Balaji Nagar,3
638,3000.0,8.0,150.0,Balaji Nagar,8
639,1300.0,3.0,69.0,Balaji Nagar,3
640,1645.0,3.0,87.0,Balaji Nagar,3
642,1660.0,3.0,104.0,Balaji Nagar,3
643,1320.0,2.0,50.0,Balaji Nagar,2
645,1171.0,2.0,73.0,Balaji Nagar,2
646,812.0,2.0,42.0,Balaji Nagar,2
647,1875.0,2.0,110.0,Balaji Nagar,3
648,1000.0,2.0,35.0,Balaji Nagar,2
649,1938.0,3.0,113.0,Balaji Nagar,3
650,1745.0,3.0,130.0,Balaji Nagar,3
651,1584.0,3.0,101.0,Balaji Nagar,3
652,1500.0,3.0,85.0,Balaji Nagar,3
654,509.0,1.0,23.0,Balaji Nagar,1
655,1310.0,2.0,53.0,Balaji Nagar,2
656,2732.0,4.0,204.0,Baner,4
657,2400.0,2.0,150.0,Baner,3
659,1005.0,2.0,50.0,Baner,2
660,1145.0,2.0,45.79,Baner,2
662,715.0,1.0,46.0,Baner,1
663,1640.0,2.0,120.0,Baner,3
664,1105.0,2.0,58.0,Baner,2
665,1345.0,2.0,67.0,Baner,2
666,1128.0,2.0,65.49,Baner,2
667,500.0,1.0,25.0,Baner,1
668,650.0,1.0,38.0,Baner,1
669,1269.72,2.0,68.0,Baner,2
670,1490.0,2.0,98.0,Baner,3
672,1101.0,2.0,65.0,Baner,2
673,400.0,1.0,14.0,Baner,1
675,1063.0,2.0,42.0,Baner,2
676,2319.0,3.0,180.0,Baner,3
677,1311.0,2.0,78.0,Baner,2
678,1525.0,3.0,96.0,Baner,3
679,1850.0,3.0,110.0,Baner,3
680,1098.0,2.0,43.91,Baner,2
683,1247.0,2.0,59.8,Baner,2
684,3537.0,5.0,210.0,Baner,4
685,1719.0,3.0,116.0,Baner,3
686,2760.0,5.0,157.0,Baner,3
688,900.0,2.0,32.5,Baner,2
689,2776.0,4.0,195.0,Baner,3
690,1820.0,3.0,93.0,Baner,3
691,1150.0,2.0,65.0,Baner,2
692,1016.0,2.0,45.0,Baner,2
693,1045.0,2.0,36.58,Baner,2
694,985.0,2.0,49.0,Baner,2
695,1326.0,2.0,57.0,Baner,2
696,1210.0,2.0,45.0,Baner,2
697,1085.0,2.0,70.0,Baner,2
698,1420.0,3.0,85.0,Baner,3
699,1559.0,3.0,120.0,Baner,3
700,1113.0,2.0,50.0,Baner,2
701,1140.0,2.0,45.0,Baner,2
702,1194.0,2.0,71.64,Baner,2
703,1680.0,3.0,117.0,Baner,3
705,1100.0,2.0,57.0,Baner,2
706,1350.0,3.0,71.0,Baner,3
707,1210.0,2.0,75.0,Baner,2
708,1155.0,2.0,51.0,Baner,2
710,1345.0,2.0,106.0,Baner,2
711,1240.0,2.0,80.0,Baner,2
712,1200.0,2.0,80.0,Baner,2
713,1755.0,3.0,101.0,Baner,3
714,1231.0,2.0,50.0,Baner,2
715,1645.0,3.0,117.0,Baner,3
717,2400.0,3.0,135.0,Baner,3
720,1002.0,2.0,40.08,Baner,2
721,1350.0,2.0,90.0,Baner,2
722,985.0,2.0,57.0,Baner,2
724,1255.0,2.0,55.5,Baner,2
725,2500.0,5.0,175.0,Baner,4
726,1650.0,3.0,101.0,Baner,3
727,1010.0,2.0,36.0,Baner,2
728,1695.0,3.0,125.0,Baner,3
729,1720.0,2.0,126.0,Baner,3
731,775.0,2.0,29.5,Baner,2
732,1160.0,2.0,40.53,Baner,2
733,2100.0,3.0,135.0,Baner,3
734,1140.0,2.0,46.0,Baner,2
735,800.0,2.0,40.0,Baner,2
736,1234.0,2.0,51.0,Baner,2
737,700.0,2.0,34.0,Baner,2
738,2569.0,4.0,175.0,Baner,4
739,1330.0,2.0,93.65,Baner,2
740,1154.0,2.0,47.0,Baner,2
741,1748.0,3.0,103.0,Baner,3
743,1035.0,2.0,39.33,Baner,2
744,1247.0,2.0,58.56,Baner,2
745,1168.0,2.0,68.0,Baner,3
746,1280.0,2.0,68.48,Baner,2
747,1465.0,2.0,60.0,Baner,2
748,1200.0,2.0,70.0,Baner,2
749,1260.0,2.0,82.0,Baner,3
750,1150.0,2.0,38.08,Baner,2
751,1806.0,6.0,116.0,Baner,3
752,1837.0,2.0,95.0,Baner,3
754,1150.0,2.0,70.0,Baner,2
755,1175.0,2.0,50.0,Baner,2
757,2265.0,3.0,159.0,Baner,3
758,1146.0,2.0,69.0,Baner,2
764,1000.0,2.0,93.0,Baner road,1
769,764.0,1.0,32.0,Baner road,1
770,1490.0,3.0,100.0,Baner road,3
772,1330.0,2.0,93.36,Baner road,2
775,1140.0,2.0,76.0,Baner road,2
777,1100.0,2.0,65.0,Baner road,2
779,1520.0,3.0,80.0,Baner road,3
783,1900.0,2.0,170.0,Baner road,3
784,989.0,2.0,60.0,Baner road,2
787,615.0,1.0,28.29,Baner road,1
788,664.0,1.0,35.0,Baner road,1
